product_id,product_name,category,segment,size,color,price,cogs,flag_loss_margin
1,BambooCraft UC-21,Streetwear,Everyday,L,orange,19529.37,16287.49458,False
2,MekongFit UC-07,Streetwear,Everyday,M,purple,4409.37,3289.39002,False
3,SaigonFlex UC-59,Streetwear,Everyday,L,white,42.90873487037344,24.500482522900096,False
4,HanoiStreet UM-36,Streetwear,Balanced,S,orange,9109.170000000002,8653.711500000001,False
5,SaigonFlex UC-97,Streetwear,Everyday,S,orange,4844.7,2618.07588,False
6,SaigonFlex UM-13,Streetwear,Balanced,S,pink,16386.067674418606,15566.764290697674,False
7,VietMotion UC-07,Streetwear,Everyday,XL,yellow,5399.825901259964,3136.7588660419133,False
8,VietMode RS-03,Outdoor,Premium,M,purple,3747.24,2006.272296,False
9,VietMode RS-10,Outdoor,Premium,S,orange,3873.24,2666.338416,False
10,MekongFit RS-06,Outdoor,Premium,L,pink,4700.352035928144,4323.853837850299,False
11,DragonWear RS-04,Outdoor,Premium,XL,black,4787.37,4096.552509,False
12,HanoiStreet UR-05,Streetwear,Standard,XL,yellow,24.11880205611212,15.539097236098918,False
13,SaigonCore UE-28,Streetwear,Performance,M,blue,6713.7,3936.91368,False
14,MekongFit UR-02,Streetwear,Standard,M,purple,4040.82,3302.966268,False
15,VietMode RP-53,Outdoor,Activewear,M,black,4524.5025,2532.36404925,False
16,HanoiStreet YY-10,GenZ,Trendy,M,yellow,1383.875492256637,862.569594323562,False
17,HanoiStreet RP-19,Outdoor,Activewear,XL,black,1763.37,1675.2015,False
18,SaigonCore YY-55,GenZ,Trendy,S,red,2319.87,1394.473857,False
19,UrbanVN RP-19,Outdoor,Activewear,S,white,36.38824646707872,20.031511281271698,False
20,PhoenixWear UE-15,Streetwear,Performance,L,orange,48.7867127569287,29.53634431880544,False
21,VietMode RP-37,Outdoor,Activewear,M,purple,70.30267143482627,44.84266837480951,False
22,SaigonFlex UE-09,Streetwear,Performance,M,black,6740.37,5806.828755,False
23,HanoiStreet UC-56,Streetwear,Everyday,M,blue,4262.353834196891,3732.117017222798,False
24,MekongFit UM-01,Streetwear,Balanced,S,white,8199.463653250774,7789.490470588234,False
25,VietMode RP-17,Outdoor,Activewear,M,purple,3680.236655518395,2233.535626234114,False
26,VietMotion UR-09,Streetwear,Standard,L,green,34.42552813113916,21.05784397046665,False
27,SaigonCore YY-22,GenZ,Trendy,XL,silver,3026.8699999999994,1800.684963,False
28,DragonWear UR-23,Streetwear,Standard,S,orange,27.271837623888736,15.966630483240037,False
29,UrbanVN UM-01,Streetwear,Balanced,L,white,7359.568083067093,5306.248587891373,False
30,DragonWear MA-07,Casual,All-weather,XL,silver,5306.9975,3533.92963525,False
31,MekongFit UR-03,Streetwear,Standard,L,green,63.622330777404414,35.57434251064229,False
32,DragonWear UE-02,Streetwear,Performance,L,white,8386.030434782608,7570.06967347826,False
33,MekongFit UC-23,Streetwear,Everyday,M,black,9335.13,8663.00064,False
34,PhoenixWear UE-03,Streetwear,Performance,L,red,5932.945301204819,4969.434984289157,False
35,VietMode MA-44,Casual,All-weather,S,pink,9126.562048192773,6083.7662613253015,False
36,VietMode RS-17,Outdoor,Premium,XL,yellow,63.52580607525507,35.497372359908915,False
37,VietMode MA-35,Casual,All-weather,XL,yellow,6504.159827586207,6178.951836206897,False
38,VietMode RS-73,Outdoor,Premium,XL,purple,42.33722319297336,25.51411545067808,False
39,BambooCraft UC-23,Streetwear,Everyday,S,white,8222.527894736842,5716.301392421053,False
40,UrbanVN RP-24,Outdoor,Activewear,M,yellow,3728.773125,2876.7484659375,False
41,MekongFit RP-54,Outdoor,Activewear,S,pink,1920.87,1074.1505039999995,False
42,HanoiStreet UR-04,Streetwear,Standard,L,pink,46.570781307914125,26.69284293338884,False
43,NamStyle YY-23,GenZ,Trendy,S,orange,3086.37,2034.843741,False
44,HanoiStreet UC-09,Streetwear,Everyday,L,green,8360.990689655173,4980.642153827586,False
45,LotusWear UE-98,Streetwear,Performance,M,silver,17.80954638992059,10.390523722361548,False
46,VietMode RP-34,Outdoor,Activewear,L,orange,5598.43156996587,3566.2009100682594,False
47,VietMotion MA-16,Casual,All-weather,L,orange,3857.993548387097,3393.105325806452,False
48,DragonWear UR-15,Streetwear,Standard,S,white,5789.7,5500.214999999999,False
49,UrbanVN UC-05,Streetwear,Everyday,L,red,6299.110953947368,5095.98076174342,False
50,MekongFit UR-06,Streetwear,Standard,M,yellow,440.37,418.3515,False
51,VietMode MP-15,Casual,Activewear,XL,silver,5983.74,5684.553,False
52,VietMode RS-23,Outdoor,Premium,M,purple,5039.37,4674.519612,False
53,UrbanVN UC-17,Streetwear,Everyday,L,orange,4066.0944094488186,3089.418532299212,False
54,DragonWear UM-25,Streetwear,Balanced,L,pink,52.6379968011183,33.92023749086405,False
55,VietMode RP-50,Outdoor,Activewear,L,pink,4912.74,4573.269666,False
56,VietMode RP-37,Outdoor,Activewear,M,purple,4695.103636363637,2763.5380003636365,False
57,DragonWear UM-09,Streetwear,Balanced,L,orange,36.33936099929246,22.64750699760115,False
58,VietMode RP-25,Outdoor,Activewear,M,blue,4346.329468531469,4129.012995104895,False
59,LotusWear UE-05,Streetwear,Performance,S,white,31.046488659482907,18.375704197914345,False
60,HanoiStreet YY-12,GenZ,Trendy,XL,black,3527.37,2848.351275,False
61,HanoiStreet UE-01,Streetwear,Performance,S,orange,20.522407754185355,12.127535551360282,False
62,MekongFit UE-18,Streetwear,Performance,L,orange,2220.567622820919,2109.539241679873,False
63,HanoiStreet MA-09,Casual,All-weather,L,orange,3720.711891891892,3306.5966583243244,False
64,PhoenixWear UM-12,Streetwear,Balanced,M,black,7559.25,6029.257799999999,False
65,VietMode RP-20,Outdoor,Activewear,S,pink,36.21790499641724,22.753484061249328,False
66,UrbanVN RP-50,Outdoor,Activewear,XL,purple,692.3085964912281,657.6931666666666,False
67,VietMotion UE-12,Streetwear,Performance,L,pink,18.441324087824835,10.163006012294185,False
68,VietMotion UE-23,Streetwear,Performance,M,yellow,27.987049096151683,17.254118409010175,False
69,DragonWear UM-20,Streetwear,Balanced,M,blue,12532.031818181818,7611.956126363636,False
70,DragonWear UM-06,Streetwear,Balanced,XL,yellow,36.605450135907525,20.8106849942608,False
71,HanoiStreet RS-08,Outdoor,Premium,S,white,1932.16809976247,1751.3171656247032,False
72,VietMode RP-67,Outdoor,Activewear,XL,purple,33.86188226912265,21.32558243305248,False
73,HanoiStreet RP-60,Outdoor,Activewear,S,orange,2645.37,1835.397459,False
74,SaigonCore UE-19,Streetwear,Performance,S,white,7238.7,5703.37173,False
75,SaigonFlex UC-95,Streetwear,Everyday,L,red,6176.85,3866.090415,False
76,VietMode MP-08,Casual,Activewear,S,red,5669.37,5385.9015,False
77,DragonWear UM-35,Streetwear,Balanced,S,pink,11844.0,9063.0288,False
78,MekongFit RP-39,Outdoor,Activewear,M,blue,711.0279925650557,525.0230697100371,False
79,MekongFit MA-10,Casual,All-weather,S,orange,2991.8146397188048,2762.641638316344,False
80,VietMode RP-34,Outdoor,Activewear,L,orange,4865.717011173184,4293.995262360335,False
81,HanoiStreet RS-17,Outdoor,Premium,M,blue,3464.37,3291.1515,False
82,VietMode RP-43,Outdoor,Activewear,XL,black,5038.74,4786.803,False
83,VietMotion YY-10,GenZ,Trendy,M,black,2015.37,1140.9009569999998,False
84,HanoiStreet RP-51,Outdoor,Activewear,XL,blue,3884.3831348511385,2371.8043421401053,False
85,PhoenixWear UM-02,Streetwear,Balanced,XL,black,6929.37,5689.01277,False
86,HanoiStreet UE-03,Streetwear,Performance,L,white,45.83327377383366,27.7385135332147,False
87,SaigonCore YY-38,GenZ,Trendy,XL,blue,1704.7910526315789,1064.982970578947,False
88,VietMode RS-16,Outdoor,Premium,L,pink,34.111613977984184,20.52738566099601,False
89,HanoiStreet RP-79,Outdoor,Activewear,XL,black,811.8865136951651,584.9642331173665,False
90,MekongStyle UC-14,Streetwear,Everyday,L,orange,14486.85,11301.191685,False
91,HanoiStreet MA-16,Casual,All-weather,M,yellow,40.76152434416071,24.15601834190016,False
92,DragonWear UM-38,Streetwear,Balanced,XL,black,9513.0,9037.35,False
93,LotusWear UE-37,Streetwear,Performance,S,green,32.658830942362144,20.310676884020182,False
94,UrbanVN UE-03,Streetwear,Performance,XL,blue,9308.546470588237,5375.685586764706,False
95,HanoiStreet UC-27,Streetwear,Everyday,S,white,3906.510139211137,2223.9762222529,False
96,DragonWear RP-21,Outdoor,Activewear,L,green,5043.402,4791.2319,False
97,MekongFit UE-04,Streetwear,Performance,S,pink,4290.57664206642,4000.104603398525,False
98,PhoenixWear UC-04,Streetwear,Everyday,L,white,5039.37,2880.503892,False
99,BambooCraft UM-03,Streetwear,Balanced,M,purple,23.25353179177501,13.33115554071414,False
100,BambooCraft UM-17,Streetwear,Balanced,XL,yellow,12504.491621621622,11879.26704054054,False
101,UrbanVN UR-27,Streetwear,Standard,S,white,37.44674567601375,23.06139796104344,False
102,UrbanVN RS-12,Outdoor,Premium,M,blue,1448.37,800.514099,False
103,UrbanVN MA-05,Casual,All-weather,S,orange,3973.690133587786,2680.6513641183205,False
104,HanoiStreet RP-66,Outdoor,Activewear,L,pink,1477.4889495225102,1174.308217080491,False
105,VietMode RP-56,Outdoor,Activewear,S,white,3275.37,2097.8744850000003,False
106,HanoiStreet UM-22,Streetwear,Balanced,L,pink,10919.37,10373.4015,False
107,SaigonFlex UC-22,Streetwear,Everyday,M,silver,10090.442604501608,7554.714377990354,False
108,MekongFit UC-27,Streetwear,Everyday,M,purple,2511.495,2353.773114,False
109,MekongStyle UC-08,Streetwear,Everyday,S,green,69.47113022348645,42.87683645159384,False
110,VietMode RS-45,Outdoor,Premium,XL,silver,5235.2741095890415,4973.510404109589,False
111,SaigonFlex UC-83,Streetwear,Everyday,L,pink,14262.4125,13549.291875,False
112,HanoiStreet UM-35,Streetwear,Balanced,XL,black,35.49075962480593,22.664320123200994,False
113,VietMode RP-39,Outdoor,Activewear,XL,silver,3892.450866141732,3697.828322834645,False
114,HanoiStreet UE-31,Streetwear,Performance,L,orange,5687.85,2991.240315,False
115,SaigonCore YY-16,GenZ,Trendy,M,black,3791.745,3602.15775,False
116,SaigonFlex UC-15,Streetwear,Everyday,L,red,6110.106266552755,5804.600953225117,False
117,UrbanVN RP-40,Outdoor,Activewear,M,purple,1070.37,1016.8515,False
118,LotusWear UR-18,Streetwear,Standard,L,green,8877.426923076924,4855.952526923077,False
119,SaigonCore YY-12,GenZ,Trendy,M,silver,2735.535137614679,2598.758380733945,False
120,VietMotion RP-47,Outdoor,Activewear,L,red,1511.37,944.455113,False
121,VietMotion UE-03,Streetwear,Performance,M,yellow,25.00757458677702,15.383210417633013,False
122,DragonWear UM-28,Streetwear,Balanced,M,black,23.84863713844093,13.21077799792784,False
123,VietMode RS-14,Outdoor,Premium,S,green,2706.4070121951218,2571.0866615853656,False
124,VietMode UE-05,Streetwear,Performance,XL,purple,5857.74,4998.409541999999,False
125,SaigonFlex UM-42,Streetwear,Balanced,M,silver,9651.796875,9169.20703125,False
126,SaigonFlex UC-57,Streetwear,Everyday,S,orange,11573.637804878048,7346.945278536587,False
127,MekongFit UR-01,Streetwear,Standard,S,white,4987.5217241379305,4154.1068440344825,False
128,VietMode RP-13,Outdoor,Activewear,M,black,5164.74,3993.893442,False
129,MekongFit RP-48,Outdoor,Activewear,L,orange,2676.87,2543.0265,False
130,LotusWear UE-10,Streetwear,Performance,M,yellow,10606.05,10075.7475,False
131,VietMode RP-84,Outdoor,Activewear,S,orange,2068.3202760736194,1296.4231490429447,False
132,MekongFit UE-16,Streetwear,Performance,S,red,6400.83170678337,3691.359645301969,False
133,SaigonFlex UM-75,Streetwear,Balanced,L,red,12524.873693181818,7330.8085726193185,False
134,VietMode RP-99,Outdoor,Activewear,XL,silver,5076.210588235294,4041.171249294117,False
135,UrbanVN UC-18,Streetwear,Everyday,XL,blue,3872.079591474245,3180.913384396092,False
136,HanoiStreet UM-12,Streetwear,Balanced,S,pink,10146.73689473684,8943.333899021052,False
137,SaigonFlex UC-07,Streetwear,Everyday,L,orange,10862.120949720673,7602.398452709498,False
138,VietMode RP-52,Outdoor,Activewear,S,red,4629.24,4397.777999999999,False
139,PhoenixWear UE-02,Streetwear,Performance,M,yellow,5228.37,4966.951499999999,False
140,SaigonFlex UM-88,Streetwear,Balanced,XL,blue,19535.011791044777,18558.261201492536,False
141,LotusWear UE-04,Streetwear,Performance,XL,blue,7286.85,6664.5530100000005,False
142,VietMotion UR-04,Streetwear,Standard,M,black,33.39484466270076,21.098752735452184,False
143,VietMode RP-00,Outdoor,Activewear,S,pink,1537.08912,1460.2346639999998,False
144,UrbanVN RP-35,Outdoor,Activewear,S,red,1177.47,615.8168099999999,False
145,VietMode RS-65,Outdoor,Premium,XL,silver,31.66046621817027,18.845317196678888,False
146,DragonWear UR-38,Streetwear,Standard,XL,silver,24.87537893001365,14.224373227866726,False
147,VietMotion UC-20,Streetwear,Everyday,S,orange,4787.37,2481.772608,False
148,DragonWear MA-13,Casual,All-weather,M,blue,5260.299999999999,4066.73793,False
149,LotusWear UE-18,Streetwear,Performance,M,silver,8483.475,6521.247232500001,False
150,VietMode UR-03,Streetwear,Standard,L,red,5353.74,4705.93746,False
151,VietMode RP-11,Outdoor,Activewear,XL,yellow,5669.15023255814,4481.46325883721,False
152,HanoiStreet MA-14,Casual,All-weather,XL,silver,37.67841650968592,21.754111030359,False
153,UrbanVN YY-02,GenZ,Trendy,L,pink,3660.198094302554,3166.0713515717093,False
154,SaigonFlex UC-35,Streetwear,Everyday,L,red,10899.88914893617,10354.894691489362,False
155,NamStyle YY-19,GenZ,Trendy,S,pink,61.5876146969055,36.29046227559733,False
156,SaigonCore MA-05,Casual,All-weather,L,red,9553.265217391305,6129.374963478261,False
157,HanoiStreet YY-09,GenZ,Trendy,S,pink,3261.76588688946,2694.218622570694,False
158,DragonWear UR-06,Streetwear,Standard,XL,purple,40.67096228171263,24.00372095766753,False
159,VietMotion RS-07,Outdoor,Premium,L,white,54.332714624212514,33.2334215994955,False
160,UrbanVN RP-55,Outdoor,Activewear,S,red,2026.0782152974505,1593.3079085099146,False
161,SaigonCore RP-13,Outdoor,Activewear,S,white,5217.507931034483,4956.632534482758,False
162,SaigonCore YY-33,GenZ,Trendy,L,pink,3592.580526315789,3074.171156368421,False
163,VietMode UE-02,Streetwear,Performance,S,orange,8188.74,4955.825448,False
164,SaigonFlex UC-18,Streetwear,Everyday,M,blue,11516.617241379312,9748.816494827586,False
